earnings_date,blackout_start,blackout_end,aapl_return,spy_return,excess_return
2026-01-29,2025-12-25,2026-01-31,-5.555962977511086,0.279583474469014,-5.8355464519801
2025-10-30,2025-09-25,2025-11-01,5.255582019378369,3.6486601008565156,1.606921918521853
2025-07-31,2025-06-26,2025-08-02,0.6865620479052925,1.6098083932635232,-0.9232463453582307
2025-05-01,2025-03-27,2025-05-03,-8.26446077492572,-0.05642274784536383,-8.208038027080356
2025-01-30,2024-12-26,2025-02-01,-8.887349126021837,0.0798213185458918,-8.967170444567728
2024-10-31,2024-09-26,2024-11-02,-2.0261943776157865,-0.22015574273034355,-1.806038634885443
2024-08-01,2024-06-27,2024-08-03,2.690340349128162,-2.4653570436099503,5.155697392738112
2024-05-02,2024-03-28,2024-05-04,6.939594313502995,-2.252076028567629,9.191670342070623
2024-02-01,2023-12-28,2024-02-03,-3.993174922295273,3.7047113078249705,-7.697886230120243
2023-11-02,2023-09-28,2023-11-04,3.4916987331647498,1.439836783717774,2.051861949446976
2023-08-03,2023-06-29,2023-08-05,-4.008641609442332,1.9858045544614233,-5.994446163903755
2023-05-04,2023-03-30,2023-05-06,6.90440817378597,2.2120282108883282,4.6923799628976415
2023-02-02,2022-12-29,2023-02-04,19.203774527864347,7.539652246859929,11.664122281004417
2022-10-27,2022-09-22,2022-10-29,1.96412974108644,3.9549058305228035,-1.9907760894363635
2022-07-28,2022-06-23,2022-07-30,17.53091796461106,8.974768171339997,8.556149793271063
2022-04-28,2022-03-24,2022-04-30,-9.432989497210064,-8.544023348800911,-0.8889661484091533
2022-01-27,2021-12-23,2022-01-29,-3.3753094698708463,-6.087978718094833,2.7126692482239867
2021-10-28,2021-09-23,2021-10-30,2.022770526312212,3.6260655348008264,-1.6032950084886144
2021-07-27,2021-06-22,2021-07-29,8.702812755912092,4.145498805905046,4.557313950007046
2021-04-28,2021-03-24,2021-04-30,9.467940971983957,7.6847753744110125,1.7831655975729443
2021-01-27,2020-12-23,2021-01-29,0.7636079399426343,0.6801569078369152,0.08345103210571914
2020-10-29,2020-09-24,2020-10-31,0.5913990897735477,0.9397188708799797,-0.348319781106432
2020-07-30,2020-06-25,2020-08-01,16.500408778568264,6.237166241850911,10.263242536717353
2020-04-30,2020-03-26,2020-05-02,11.851884040068583,8.265706206937207,3.5861778331313765
2020-01-28,2019-12-24,2020-01-30,13.930433372350626,2.007899893216658,11.922533479133968
2019-10-30,2019-09-25,2019-11-01,15.739961445764461,2.8627131893824265,12.877248256382035
2019-07-30,2019-06-25,2019-08-01,6.575641746281113,1.4032192452597236,5.17242250102139
2019-04-30,2019-03-26,2019-05-02,11.970658089389863,3.578527931071096,8.392130158318768
2019-01-29,2018-12-25,2019-01-31,5.898084918683577,9.647449074005475,-3.7493641553218984
2018-11-01,2018-09-27,2018-11-03,-7.766179325495914,-6.4673820833502145,-1.2987972421456995
2018-07-31,2018-06-26,2018-08-02,12.449153460929384,3.972762413332176,8.476391047597208
2018-05-01,2018-03-27,2018-05-03,5.079020509377452,0.775161527502144,4.303858981875308
2018-02-01,2017-12-28,2018-02-03,-6.18419341330968,2.8297647676914783,-9.013958181001158
2017-11-02,2017-09-28,2017-11-04,12.539139250571928,3.2354836750453364,9.30365557552659
2017-08-01,2017-06-27,2017-08-03,8.237663213164105,2.332878234654201,5.904784978509904
2017-05-02,2017-03-28,2017-05-04,1.898496421546536,1.4618277294975446,0.4366686920489915
2017-01-31,2016-12-27,2017-02-02,9.611075338600683,0.6629438843099411,8.948131454290742
2016-10-25,2016-09-20,2016-10-27,0.8012798212246208,-0.11716360405347181,0.9184434252780926
2016-07-26,2016-06-21,2016-07-28,8.789477341823604,3.996365153344028,4.793112188479576
2016-04-26,2016-03-22,2016-04-28,-11.141263963674241,1.4127807316146601,-12.554044695288901
2016-01-26,2015-12-22,2016-01-28,-12.25403191768837,-7.0712513848879555,-5.182780532800414
2015-10-27,2015-09-22,2015-10-29,6.287465479728205,7.694254680545365,-1.40678920081716
2015-07-21,2015-06-16,2015-07-23,-1.9122159330126176,0.4529656196832432,-2.365181552695861
2015-04-27,2015-03-23,2015-04-29,1.1241303561679628,0.27142344426751563,0.8527069119004471
2015-01-27,2014-12-23,2015-01-29,5.651350852570913,-2.7725590718641224,8.423909924435035
2014-10-20,2014-09-15,2014-10-22,1.3382072089214603,-2.7084766315095044,4.046683840430965
2014-07-22,2014-06-17,2014-07-24,5.375763837248626,2.4492747268653803,2.9264891103832458
2014-04-23,2014-03-19,2014-04-25,7.6573046513145115,0.24225223418645747,7.415052417128054
2014-01-27,2013-12-23,2014-01-29,-12.163020708221318,-2.8379064516516395,-9.325114256569679
2013-10-28,2013-09-23,2013-10-30,6.982731022596278,3.74273395578848,3.239997066807798
2013-07-23,2013-06-18,2013-07-25,1.5587014133288335,2.4639708228271884,-0.9052694094983549
2013-04-23,2013-03-19,2013-04-25,-10.145426858508067,2.5289398156321585,-12.674366674140225
2013-01-23,2012-12-19,2013-01-25,-16.421867589074836,4.869102289446814,-21.29096987852165
2012-10-25,2012-09-20,2012-10-27,-13.553758542285744,-3.1391318954152925,-10.41462664687045
2012-07-24,2012-06-19,2012-07-26,-2.1330814603910175,0.34635424316566965,-2.479435703556687
2012-04-24,2012-03-20,2012-04-26,0.28711963496543813,-0.19931703686991709,0.4864366718353552
