year,aapl_return_mean,aapl_return_count,spy_return_mean,excess_return_mean,excess_return_std,excess_return_min,excess_return_max,underperf_rate
2012,-5.13,3,-1.0,-4.14,5.64,-10.41,0.49,66.66666666666666
2013,-4.51,4,3.4,-7.91,11.18,-21.29,3.24,75.0
2014,0.55,4,-0.71,1.27,7.31,-9.33,7.42,25.0
2015,2.79,4,1.41,1.38,4.89,-2.37,8.42,50.0
2016,-3.45,4,-0.44,-3.01,7.57,-12.55,4.79,50.0
2017,8.07,4,1.92,6.15,4.1,0.44,9.3,0.0
2018,0.89,4,0.28,0.62,7.57,-9.01,8.48,50.0
2019,10.05,4,4.37,5.67,7.03,-3.75,12.88,25.0
2020,10.72,4,4.36,6.36,5.74,-0.35,11.92,25.0
2021,5.24,4,4.03,1.21,2.63,-1.6,4.56,25.0
2022,1.67,4,-0.43,2.1,4.75,-1.99,8.56,50.0
2023,6.4,4,3.29,3.1,7.3,-5.99,11.66,25.0
2024,0.9,4,-0.31,1.21,7.48,-7.7,9.19,50.0
2025,-2.8,4,1.32,-4.12,5.27,-8.97,1.61,75.0
2026,-5.56,1,0.28,-5.84,,-5.84,-5.84,100.0
